,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
147,khatanga,71.9667,102.5,-4.59,99,100,5.23,RU,1643485812
148,san jose,37.3394,-121.895,63.99,52,0,1.01,US,1643485523
149,saurimo,-9.6608,20.3916,65.88,93,100,4.18,AO,1643485812
150,darnetal,49.4453,1.1514,50.18,90,100,12.66,FR,1643485872
151,san quintin,30.4833,-115.95,66.83,33,5,4.43,MX,1643485873
152,plainview,40.7765,-73.4673,19.49,79,100,11.99,US,1643485873
153,ingham,42.6,-84.3833,22.84,65,100,6.91,US,1643485874
154,airai,-8.9266,125.4092,60.64,93,100,3.42,TL,1643485874
155,coahuayana,18.7333,-103.6833,85.48,39,0,7.63,MX,1643485679
156,yurginskoye,56.8189,67.3921,8.17,92,100,5.86,RU,1643485874
157,cedar mill,45.5248,-122.8109,49.17,61,0,1.99,US,1643485875
158,richards bay,-28.783,32.0377,71.6,83,62,4.14,ZA,1643485725
159,susangerd,31.5608,48.1831,44.62,47,0,9.19,IR,1643485875
160,sucevita,47.7833,25.7167,26.44,78,20,10.09,RO,1643485875
161,longyearbyen,78.2186,15.6401,8.44,66,0,17.27,SJ,1643485876
162,floro,61.5996,5.0328,40.96,60,75,42.57,NO,1643485876
163,lorengau,-2.0226,147.2712,80.15,81,98,7.65,PG,1643485877
164,vestmannaeyjar,63.4427,-20.2734,40.28,67,100,18.39,IS,1643485634
165,kaiyuan,23.6977,103.3037,47.64,88,0,3.49,CN,1643485877
166,puerto quijarro,-17.7833,-57.7667,79.7,83,89,2.75,BO,1643485878
167,shache,38.4167,77.2406,26.71,43,14,2.73,CN,1643485878
168,rio verde de mato grosso,-18.9181,-54.8442,77.95,84,79,8.77,BR,1643485776
169,waddan,29.1614,16.139,49.42,28,0,7.63,LY,1643485878
170,elliot,-31.3333,27.85,56.39,94,2,2.55,ZA,1643485879
171,bambanglipuro,-7.95,110.2833,77.72,86,100,3.87,ID,1643485879
172,merauke,-8.4667,140.3333,80.6,77,100,8.84,ID,1643485879
173,kang,-23.6752,22.7876,73.54,67,90,14.61,BW,1643485880
174,sao filipe,14.8961,-24.4956,71.11,71,100,12.57,CV,1643485880
175,sioux lookout,50.1001,-91.917,8.98,78,100,5.75,CA,1643485881
176,chapais,49.7834,-74.8492,-4.22,77,6,4.14,CA,1643485668
177,hasaki,35.7333,140.8333,30.6,70,53,15.93,JP,1643485881
178,ola,59.5833,151.2833,9.63,79,100,12.97,RU,1643485882
179,tual,-5.6667,132.75,83.53,75,100,13.51,ID,1643485882
180,nkan,0.3833,9.7833,77.95,87,100,3.44,GA,1643485882
181,hluti,-27.2167,31.6167,66.51,96,100,2.51,SZ,1643485883
182,kumluca,36.3703,30.2869,45.68,60,100,7.05,TR,1643485659
183,sola,-13.8833,167.55,82.96,77,100,22.46,VU,1643485737
184,itarema,-2.9248,-39.9167,81.75,65,94,10.36,BR,1643485883
185,algeciras,36.1333,-5.4505,58.77,71,3,21.09,ES,1643485884
186,ohara,35.25,140.3833,40.96,80,28,12.17,JP,1643485884
187,acajutla,13.5928,-89.8275,89.8,51,22,10.2,SV,1643485732
188,bozhou,33.8772,115.7703,31.64,68,11,4.45,CN,1643485885
189,port alfred,-33.5906,26.891,70.25,80,46,12.55,ZA,1643485885
190,port blair,11.6667,92.75,77.04,88,75,2.3,IN,1643485885
191,guider,9.9342,13.9486,74.7,15,45,7.96,CM,1643485886
192,hirara,24.8,125.2833,69.51,79,100,24.34,JP,1643485886
193,iracoubo,5.4802,-53.2011,79.92,75,91,8.39,GF,1643485886
194,cayenne,4.9333,-52.3333,82.44,85,75,1.99,GF,1643485887
195,songea,-10.6833,35.65,61.77,98,76,0.67,TZ,1643485887
196,fortuna,40.5982,-124.1573,61.93,56,0,4.0,US,1643485888
197,jiuquan,39.7432,98.5174,14.79,59,6,5.23,CN,1643485888
198,westport,41.1415,-73.3579,19.42,87,100,7.0,US,1643485663
199,nioro,13.35,-15.75,86.99,14,84,5.88,GM,1643485888
200,bagdarin,54.4333,113.6,-15.34,95,10,4.09,RU,1643485949
201,clyde river,70.4692,-68.5914,-7.37,64,100,14.97,CA,1643485737
202,carnarvon,-24.8667,113.6333,75.27,88,78,9.22,AU,1643485949
203,murgud,16.4,74.2,64.13,42,9,3.6,IN,1643485950
204,kavieng,-2.5744,150.7967,81.25,77,100,7.58,PG,1643485950
205,florianopolis,-27.6146,-48.5012,73.62,82,75,1.01,BR,1643485950
206,terekli-mekteb,44.1671,45.8698,35.13,87,99,9.42,RU,1643485951
207,ilulissat,69.2167,-51.1,5.16,79,100,15.59,GL,1643485951
208,norman wells,65.282,-126.8329,-25.56,68,20,2.3,CA,1643485952
209,aviles,43.5547,-5.9248,49.93,87,75,8.05,ES,1643485952
210,mehamn,71.0357,27.8492,21.15,79,75,11.5,NO,1643485952
211,ciudad bolivar,8.1222,-63.5497,93.24,28,25,10.22,VE,1643485953
212,bambous virieux,-20.3428,57.7575,80.85,78,40,8.05,MU,1643485953
